iter	Passed	Remaining
724	1339	508
725	1341	506
726	1342	504
727	1345	502
728	1347	500
729	1348	498
730	1350	496
731	1352	495
732	1353	493
733	1354	491
734	1356	488
735	1357	487
736	1359	485
737	1361	483
738	1362	481
739	1363	479
740	1366	477
741	1367	475
742	1371	474
743	1373	472
744	1374	470
745	1376	468
746	1377	466
747	1380	464
748	1381	463
749	1383	461
750	1384	459
751	1386	457
752	1387	455
753	1388	453
754	1390	451
755	1391	449
756	1393	447
757	1395	445
758	1397	443
759	1398	441
760	1400	439
761	1401	437
762	1402	435
763	1403	433
764	1404	431
765	1406	429
766	1408	427
767	1410	426
768	1412	424
769	1413	422
770	1414	420
771	1416	418
772	1417	416
773	1418	414
774	1420	412
775	1422	410
776	1425	409
777	1426	407
778	1427	405
779	1428	403
780	1430	401
781	1431	399
782	1432	397
783	1434	395
784	1435	393
785	1436	391
786	1439	389
787	1441	387
788	1442	385
789	1443	383
790	1445	381
791	1446	379
792	1447	377
793	1448	375
794	1450	373
795	1454	372
796	1456	370
797	1457	368
798	1458	366
799	1459	364
800	1461	363
801	1462	361
802	1463	359
803	1465	357
804	1467	355
805	1469	353
806	1470	351
807	1472	349
808	1473	347
809	1474	345
810	1475	343
811	1477	341
812	1478	340
813	1480	338
814	1482	336
815	1484	334
816	1485	332
817	1486	330
818	1488	328
819	1489	326
820	1490	325
821	1492	323
822	1494	321
823	1498	319
824	1499	318
825	1501	316
826	1502	314
827	1504	312
828	1505	310
829	1507	308
830	1508	306
831	1509	304
832	1511	303
833	1513	301
834	1515	299
835	1516	297
836	1517	295
837	1519	293
838	1520	291
839	1522	289
840	1523	288
841	1525	286
842	1527	284
843	1528	282
844	1530	280
845	1531	278
846	1533	276
847	1534	275
848	1537	273
849	1539	271
850	1541	269
851	1542	267
852	1544	266
853	1546	264
854	1547	262
855	1549	260
856	1550	258
857	1552	256
858	1554	255
859	1556	253
860	1557	251
861	1559	249
862	1560	247
863	1562	245
864	1563	244
865	1564	242
866	1565	240
867	1567	238
868	1569	236
869	1571	234
870	1573	232
871	1574	231
872	1575	229
873	1576	227
874	1577	225
875	1579	223
876	1580	221
877	1581	219
878	1583	217
879	1585	216
880	1586	214
881	1588	212
882	1589	210
883	1590	208
884	1592	206
885	1593	205
886	1595	203
887	1596	201
888	1599	199
889	1601	197
890	1602	196
891	1603	194
892	1605	192
893	1606	190
894	1607	188
895	1609	186
896	1611	185
897	1613	183
898	1615	181
899	1616	179
900	1618	177
901	1619	175
902	1620	174
903	1622	172
904	1623	170
905	1624	168
906	1626	166
907	1628	165
908	1630	163
909	1631	161
910	1633	159
911	1635	157
912	1637	156
913	1641	154
914	1645	152
915	1647	151
916	1649	149
917	1650	147
918	1652	145
919	1653	143
920	1658	142
921	1660	140
922	1668	139
923	1670	137
924	1683	136
925	1685	134
926	1689	133
927	1691	131
928	1692	129
929	1693	127
930	1694	125
931	1696	123
932	1697	121
933	1699	120
934	1704	118
935	1706	116
936	1707	114
937	1709	112
938	1710	111
939	1712	109
940	1714	107
941	1716	105
942	1719	103
943	1721	102
944	1722	100
945	1724	98
946	1725	96
947	1727	94
948	1732	93
949	1734	91
950	1736	89
951	1738	87
952	1739	85
953	1740	83
954	1743	82
955	1746	80
956	1751	78
957	1752	76
958	1753	74
959	1756	73
960	1757	71
961	1760	69
962	1762	67
963	1763	65
964	1765	64
965	1766	62
966	1767	60
967	1769	58
968	1770	56
969	1772	54
970	1774	52
971	1777	51
972	1778	49
973	1780	47
974	1781	45
975	1782	43
976	1785	42
977	1786	40
978	1788	38
979	1791	36
980	1792	34
981	1794	32
982	1795	31
983	1797	29
984	1799	27
985	1800	25
986	1801	23
987	1805	21
988	1807	20
989	1808	18
990	1810	16
991	1811	14
992	1812	12
993	1814	10
994	1821	9
995	1823	7
996	1825	5
997	1827	3
998	1828	1
999	1831	0
